latest_year,id,indicator,year,xaxis_display,value
0,AR,gov_debt_to_gdp_perc,2023,,1.54601
0,AR,gov_debt_to_gdp_perc,2024,,0.84653
1,AR,gov_debt_to_gdp_perc,2025,,0.8031100000000001
0,AM,gov_debt_to_gdp_perc,2010,,0.39969
0,AM,gov_debt_to_gdp_perc,2011,,0.42217
0,AM,gov_debt_to_gdp_perc,2012,,0.41356
0,AM,gov_debt_to_gdp_perc,2013,,0.40856
0,AM,gov_debt_to_gdp_perc,2014,,0.43689
0,AM,gov_debt_to_gdp_perc,2015,,0.48702
0,AM,gov_debt_to_gdp_perc,2016,,0.56749
0,AM,gov_debt_to_gdp_perc,2017,,0.58938
0,AM,gov_debt_to_gdp_perc,2018,,0.55655
0,AM,gov_debt_to_gdp_perc,2019,,0.53673
0,AM,gov_debt_to_gdp_perc,2020,,0.67362
0,AM,gov_debt_to_gdp_perc,2021,,0.63354
0,AM,gov_debt_to_gdp_perc,2022,,0.49247
0,AM,gov_debt_to_gdp_perc,2023,,0.50512
0,AM,gov_debt_to_gdp_perc,2024,,0.49961
1,AM,gov_debt_to_gdp_perc,2025,,0.48965
0,AG,gov_debt_to_gdp_perc,2010,,0.7939799999999999
0,AG,gov_debt_to_gdp_perc,2011,,0.8112699999999999
0,AG,gov_debt_to_gdp_perc,2012,,0.76929
0,AG,gov_debt_to_gdp_perc,2013,,0.8538
0,AG,gov_debt_to_gdp_perc,2014,,0.91887
0,AG,gov_debt_to_gdp_perc,2015,,0.92125
0,AG,gov_debt_to_gdp_perc,2016,,0.8306100000000001
0,AG,gov_debt_to_gdp_perc,2017,,0.88176
0,AG,gov_debt_to_gdp_perc,2018,,0.84333
0,AG,gov_debt_to_gdp_perc,2019,,0.8158799999999999
0,AG,gov_debt_to_gdp_perc,2020,,1.00465
0,AG,gov_debt_to_gdp_perc,2021,,0.92951
0,AG,gov_debt_to_gdp_perc,2022,,0.82446
0,AG,gov_debt_to_gdp_perc,2023,,0.7453400000000001
0,AG,gov_debt_to_gdp_perc,2024,,0.71773
1,AG,gov_debt_to_gdp_perc,2025,,0.69744
0,AU,gov_debt_to_gdp_perc,2010,,0.20288
0,AU,gov_debt_to_gdp_perc,2011,,0.23962
0,AU,gov_debt_to_gdp_perc,2012,,0.2742
0,AU,gov_debt_to_gdp_perc,2013,,0.30333
0,AU,gov_debt_to_gdp_perc,2014,,0.33893
0,AU,gov_debt_to_gdp_perc,2015,,0.37575
0,AU,gov_debt_to_gdp_perc,2016,,0.4046
0,AU,gov_debt_to_gdp_perc,2017,,0.41039
0,AU,gov_debt_to_gdp_perc,2018,,0.41598
0,AU,gov_debt_to_gdp_perc,2019,,0.46529
0,AU,gov_debt_to_gdp_perc,2020,,0.5690999999999999
0,AU,gov_debt_to_gdp_perc,2021,,0.55372
0,AU,gov_debt_to_gdp_perc,2022,,0.5004500000000001
0,AU,gov_debt_to_gdp_perc,2023,,0.49416
0,AU,gov_debt_to_gdp_perc,2024,,0.50611
1,AU,gov_debt_to_gdp_perc,2025,,0.51035
0,AT,gov_debt_to_gdp_perc,2010,,0.83654
0,AT,gov_debt_to_gdp_perc,2011,,0.83356
0,AT,gov_debt_to_gdp_perc,2012,,0.82935
0,AT,gov_debt_to_gdp_perc,2013,,0.82431
0,AT,gov_debt_to_gdp_perc,2014,,0.8521
0,AT,gov_debt_to_gdp_perc,2015,,0.85615
0,AT,gov_debt_to_gdp_perc,2016,,0.83419
0,AT,gov_debt_to_gdp_perc,2017,,0.79057
0,AT,gov_debt_to_gdp_perc,2018,,0.74586
0,AT,gov_debt_to_gdp_perc,2019,,0.71006
0,AT,gov_debt_to_gdp_perc,2020,,0.8318300000000001
0,AT,gov_debt_to_gdp_perc,2021,,0.82399
0,AT,gov_debt_to_gdp_perc,2022,,0.78141
0,AT,gov_debt_to_gdp_perc,2023,,0.77754
0,AT,gov_debt_to_gdp_perc,2024,,0.79176
1,AT,gov_debt_to_gdp_perc,2025,,0.8049299999999999
0,AZ,gov_debt_to_gdp_perc,2010,,0.04981
0,AZ,gov_debt_to_gdp_perc,2011,,0.04967
0,AZ,gov_debt_to_gdp_perc,2012,,0.05831
0,AZ,gov_debt_to_gdp_perc,2013,,0.06179
0,AZ,gov_debt_to_gdp_perc,2014,,0.08532999999999999
0,AZ,gov_debt_to_gdp_perc,2015,,0.17980000000000002
0,AZ,gov_debt_to_gdp_perc,2016,,0.20608
0,AZ,gov_debt_to_gdp_perc,2017,,0.22509
0,AZ,gov_debt_to_gdp_perc,2018,,0.18685
0,AZ,gov_debt_to_gdp_perc,2019,,0.17656
0,AZ,gov_debt_to_gdp_perc,2020,,0.21327
0,AZ,gov_debt_to_gdp_perc,2021,,0.26349
